"","value","time"
"ERR525759",-1.33346722533597,"M"
"ERR526075",-2.47900529177542,"M"
"ERR526087",-1.76285684379211,"M"
"ERR525699",-1.66377757488433,"M"
"ERR525708",-4.06257521992876,"M"
"ERR525903",-2.08199916645347,"M"
"ERR525907",-1.95672177249561,"M"
"ERR525911",-2.02633645631111,"M"
"ERR525955",-2.69794127651735,"M"
"ERR526067",-2.70570281500133,"M"
"ERR526073",-1.98164335215709,"M"
"ERR526079",-2.45888432538603,"M"
"ERR525692",-2.77952204495576,"M"
"ERR525697",-1.50247778798911,"M"
"ERR525706",-1.87722489420367,"M"
"ERR525716",-2.87339218838021,"M"
"ERR525720",-1.4759898237059,"M"
"ERR525725",-0.923827714655567,"M"
"ERR525729",-1.88210388390392,"M"
"ERR525733",-1.56692425802208,"M"
"ERR525737",-2.02960937819426,"M"
"ERR525741",-2.35600520108064,"M"
"ERR525746",-2.05565102013073,"M"
"ERR525751",-2.58969716029425,"M"
"ERR525757",-2.04999495486484,"M"
"ERR525763",-2.72741751080751,"M"
"ERR525767",-2.13951220614127,"M"
"ERR525771",-2.55139658680315,"M"
"ERR525775",-1.48404704220392,"M"
"ERR525779",-1.40462655733678,"M"
"ERR525783",-2.21299752091383,"M"
"ERR525791",-1.56663262690706,"M"
"ERR525795",-1.81024393493878,"M"
"ERR525799",-1.75874013745549,"M"
"ERR525804",-1.72981851027261,"M"
"ERR525809",-1.65096689611398,"M"
"ERR525813",-2.27778771086982,"M"
"ERR525827",-2.40889902323184,"M"
"ERR525831",-2.5720135724808,"M"
"ERR525835",-1.92492722255099,"M"
"ERR525839",-2.5695223715097,"M"
"ERR525847",-2.16056991587398,"M"
"ERR525851",-1.63379756407,"M"
"ERR525855",-1.93231952950458,"M"
"ERR525859",-1.40957534694644,"M"
"ERR525863",-2.71361780141873,"M"
"ERR525867",-2.27691461767096,"M"
"ERR525871",-2.05291669389847,"M"
"ERR525879",-1.2716239531088,"M"
"ERR525889",-1.97931325031974,"M"
"ERR525893",-2.0480223077525,"M"
"ERR525901",-2.0625226117099,"M"
"ERR525915",-2.00529150345823,"M"
"ERR525919",-1.57950439507823,"M"
"ERR525923",-2.23861002985771,"M"
"ERR525928",-3.42526913929321,"M"
"ERR525935",-1.8625505113947,"M"
"ERR525943",-1.74204884698538,"M"
"ERR525948",-3.23996205404435,"M"
"ERR525953",-1.75804382022458,"M"
"ERR525959",-2.60716459245802,"M"
"ERR525963",-2.79556688216518,"M"
"ERR525967",-2.43606648883387,"M"
"ERR525971",-1.32237412224338,"M"
"ERR525975",-0.988002888167338,"M"
"ERR525983",-2.27589546952432,"M"
"ERR525987",-1.75538958020307,"M"
"ERR525991",-2.20326085384478,"M"
"ERR525995",-2.91760786988514,"M"
"ERR525999",-2.68676324276124,"M"
"ERR526003",-2.253313287774,"M"
"ERR526007",-3.62714897036732,"M"
"ERR526011",-2.19724528488751,"M"
"ERR526015",-2.10844346486088,"M"
"ERR526019",-2.36098649873107,"M"
"ERR526027",-1.77278517877491,"M"
"ERR526031",-2.61663632663306,"M"
"ERR526035",-1.53523824807669,"M"
"ERR526039",-1.06891662833605,"M"
"ERR526043",-1.16569122051472,"M"
"ERR526047",-1.3323476036614,"M"
"ERR526051",-1.89046056641505,"M"
"ERR526055",-0.929637438975224,"M"
"ERR526059",-2.61589511716763,"M"
"ERR526063",-2.29317738211558,"M"
"ERR525758",-1.51210606806058,"B"
"ERR526074",-1.72932989403715,"B"
"ERR526086",-4.89403006164034,"B"
"ERR525698",-3.11951276604409,"B"
"ERR525707",-5.34957931775457,"B"
"ERR525902",-0.32695127236182,"B"
"ERR525906",-2.75914327742973,"B"
"ERR525910",-3.66725034272115,"B"
"ERR525954",-1.1840872109047,"B"
"ERR526066",-1.7879498953965,"B"
"ERR526072",-0.187478576722329,"B"
"ERR526078",-1.00881512463232,"B"
"ERR525691",-0.433090015151229,"B"
"ERR525696",-1.82477084261507,"B"
"ERR525705",-1.10846157596099,"B"
"ERR525715",-5.00375440866037,"B"
"ERR525719",-2.8826861143942,"B"
"ERR525724",-4.62632379034602,"B"
"ERR525728",-2.6670535753384,"B"
"ERR525732",-1.53228782026605,"B"
"ERR525736",-3.67915829283893,"B"
"ERR525740",-5.46194115463294,"B"
"ERR525745",-3.49358151790703,"B"
"ERR525749",-1.43342775425056,"B"
"ERR525756",-2.85991523060446,"B"
"ERR525762",-2.79274958229782,"B"
"ERR525766",-2.10449235097241,"B"
"ERR525770",-4.55003116495324,"B"
"ERR525774",-2.24075513733556,"B"
"ERR525778",-4.24713757343754,"B"
"ERR525782",-4.33328904559795,"B"
"ERR525790",-1.70202618312407,"B"
"ERR525794",-0.378072283905699,"B"
"ERR525798",-3.61691199887019,"B"
"ERR525803",-1.72046386685479,"B"
"ERR525808",-4.41895989925064,"B"
"ERR525812",-0.646572697079122,"B"
"ERR525826",-2.08442648441434,"B"
"ERR525830",-1.31675948794048,"B"
"ERR525834",-0.706652938946822,"B"
"ERR525838",-1.16679870647812,"B"
"ERR525846",-1.27173143896142,"B"
"ERR525850",-2.01866739120427,"B"
"ERR525854",-1.76169459772965,"B"
"ERR525858",-0.929394008354682,"B"
"ERR525862",-0.0410055463772168,"B"
"ERR525866",-1.61643575885049,"B"
"ERR525870",-2.68211318794851,"B"
"ERR525878",-1.29936108094133,"B"
"ERR525888",-4.22801200711518,"B"
"ERR525892",-2.03159106809131,"B"
"ERR525900",-1.87359154693672,"B"
"ERR525914",-1.13098482780082,"B"
"ERR525918",-4.84868625272419,"B"
"ERR525922",-2.15916150686612,"B"
"ERR525927",-1.45022415533457,"B"
"ERR525934",-4.81880094993936,"B"
"ERR525942",-4.24180257854106,"B"
"ERR525947",-3.33476120951928,"B"
"ERR525952",-5.44276923489382,"B"
"ERR525958",-6.87391131325623,"B"
"ERR525962",-4.83029871782517,"B"
"ERR525966",-3.85895566887212,"B"
"ERR525970",-3.42147803447104,"B"
"ERR525974",-1.07455448165548,"B"
"ERR525982",-4.53054629314901,"B"
"ERR525986",-2.65040736479703,"B"
"ERR525990",-0.716022270375867,"B"
"ERR525994",-5.667081290717,"B"
"ERR525998",-4.81465069934627,"B"
"ERR526002",-3.33716569264899,"B"
"ERR526006",-2.38713480451138,"B"
"ERR526010",-2.38509420396143,"B"
"ERR526014",-1.74182135800362,"B"
"ERR526018",-0.575903822275593,"B"
"ERR526026",-0.467940195171932,"B"
"ERR526030",-2.74091153153269,"B"
"ERR526034",-4.03831903027084,"B"
"ERR526038",-1.90534961483938,"B"
"ERR526042",-3.86369691803645,"B"
"ERR526046",-2.30123682119828,"B"
"ERR526050",-2.2761962032647,"B"
"ERR526054",-1.64834224959044,"B"
"ERR526058",-0.275339280646628,"B"
"ERR526062",-1.84194549203164,"B"
"ERR525721",-0.851635764905722,"4M"
"ERR526069",-0.92040576368894,"4M"
"ERR526085",-3.33949523103691,"4M"
"ERR525693",-1.33743606415351,"4M"
"ERR525702",-4.52256064900403,"4M"
"ERR525897",-0.600562487878788,"4M"
"ERR525905",-0.791516263568755,"4M"
"ERR525909",-1.46268619699631,"4M"
"ERR525949",-2.14716202604646,"4M"
"ERR526065",-0.215709474448336,"4M"
"ERR526071",-0.768686650728172,"4M"
"ERR526077",-1.45255135047901,"4M"
"ERR525690",-5.16715538523986,"4M"
"ERR525695",-1.51537370948346,"4M"
"ERR525704",-1.6461073029414,"4M"
"ERR525714",-1.77617042864662,"4M"
"ERR525718",-1.49181039857292,"4M"
"ERR525723",-1.29046476869171,"4M"
"ERR525727",-3.59478304376985,"4M"
"ERR525731",-4.19860570822754,"4M"
"ERR525735",-1.46588693366561,"4M"
"ERR525739",-5.40060395825378,"4M"
"ERR525744",-0.594028000154422,"4M"
"ERR525748",-0.146284726341015,"4M"
"ERR525755",-0.321154971131738,"4M"
