Index	Faecalibacterium_prausnitzii	Faecalibacterium_prausnitzii_unclassified	fp_GCF_000162015	fp__GCF_000166035
FMT100	0.00585	0.00585	0.0	0.0
FMT101	0.01212	0.01212	0.0	0.0
FMT102	6.73147	6.73147	0.0	0.0
FMT103	0.00808	0.00808	0.0	0.0
FMT105	0.0062	0.0062	0.0	0.0
FMT106	4.44262	4.44262	0.0	0.0
FMT108	4.21959	2.90016	0.70191	0.61752
FMT109	0.00095	0.00095	0.0	0.0
FMT10	0.00929	0.00929	0.0	0.0
FMT110	9.52835	9.52835	0.0	0.0
FMT11	4.42672	2.56011	1.21776	0.64885
FMT12	15.70001	11.99822	2.0464	1.65539
FMT13	2.50067	1.58873	0.74554	0.1664
FMT14	11.29008	8.48828	1.50839	1.29342
FMT15	2.42351	1.93656	0.28459	0.20237
FMT16	0.47537	0.322	0.0	0.15337
FMT17	2.25808	1.47596	0.09129	0.69083
FMT18	1.03469	0.90205	0.0	0.13265
FMT19	2.70497	2.04929	0.0	0.65569
FMT1	4.25154	1.01835	2.2291	1.00409
FMT20	0.00665	0.00665	0.0	0.0
FMT21	3.1993	2.08148	0.9166	0.20122
FMT22	9.90809	5.24151	4.09921	0.56738
FMT23	0.01557	0.01557	0.0	0.0
FMT24	11.26121	8.80093	1.18625	1.27403
FMT25	7.20058	5.47986	0.98829	0.73244
FMT26	10.5161	9.10013	0.45186	0.96411
FMT27	10.14943	6.02105	2.41176	1.71662
FMT28	6.18935	4.4095	1.09369	0.68616
FMT29	10.50014	7.12592	1.8115	1.56273
FMT2	10.75806	7.92596	0.90729	1.92482
FMT30	8.18836	6.0719	1.13175	0.98471
FMT31	9.45372	7.00297	1.37037	1.08038
FMT32	4.45514	4.45514	0.0	0.0
FMT33	14.60434	14.60434	0.0	0.0
FMT34	7.77943	7.77943	0.0	0.0
FMT35	0.25659	0.25659	0.0	0.0
FMT37	0.57496	0.57496	0.0	0.0
FMT39	16.1244	3.09123	10.86039	2.17277
FMT3	5.8335	3.94671	0.70203	1.18476
FMT41	10.18335	1.85693	7.25363	1.07278
FMT43	18.55821	13.57259	3.75025	1.23536
FMT44	0.66496	0.66496	0.0	0.0
FMT47	6.09659	4.956	1.14059	0.0
FMT49	4.97505	3.04781	0.71394	1.2133
FMT4	6.83532	5.20195	0.5849	1.04847
FMT50	0.0108	0.0108	0.0	0.0
FMT51	0.00313	0.00313	0.0	0.0
FMT53	10.10219	10.10219	0.0	0.0
FMT55	11.33345	11.33345	0.0	0.0
FMT56	0.01791	0.01791	0.0	0.0
FMT58	0.0087	0.0087	0.0	0.0
FMT59	0.0029	0.0029	0.0	0.0
FMT5	0.00617	0.00617	0.0	0.0
FMT62	0.00919	0.00919	0.0	0.0
FMT64	3.40478	3.40478	0.0	0.0
FMT66	3.27753	3.27753	0.0	0.0
FMT67	0.75277	0.75277	0.0	0.0
FMT69	0.0219	0.0219	0.0	0.0
FMT6	6.43236	0.84244	5.06973	0.52019
FMT71	4.81307	4.81307	0.0	0.0
FMT72	0.00551	0.00551	0.0	0.0
FMT74	5.13078	4.46291	0.35319	0.31468
FMT75	0.00602	0.00602	0.0	0.0
FMT77	8.79815	4.89345	2.10239	1.80231
FMT78	0.00424	0.00424	0.0	0.0
FMT80	0.00112	0.00112	0.0	0.0
FMT81	0.00679	0.00679	0.0	0.0
FMT82	0.00182	0.00182	0.0	0.0
FMT84	4.48686	2.18275	1.78122	0.52289
FMT85	7.30099	3.47768	3.07472	0.74859
FMT88	0.00278	0.00278	0.0	0.0
FMT92	4.09965	2.51174	0.0	1.58791
FMT93	0.00163	0.00163	0.0	0.0
FMT95	0.00248	0.00248	0.0	0.0
FMT96	0.01205	0.01205	0.0	0.0
FMT97	1.9032	1.9032	0.0	0.0
FMT98	3.647	3.647	0.0	0.0
FMT99	0.00189	0.00189	0.0	0.0
