strain1,strain2,strain3,GCF_000164965.1_ASM16496v1_genomic,GCF_000299595.1_ASM29959v1_genomic,GCF_001020245.1_Bbif04v4_genomic,GCF_001020255.1_Bbif02v4_genomic,GCF_001020335.1_Bbif08v4_genomic,GCF_001020355.1_Bbif01v4_genomic,GCF_001595435.1_ASM159543v1_genomic,GCF_003390735.1_ASM339073v1_genomic,GCF_003436575.1_ASM343657v1_genomic,GCF_003437945.1_ASM343794v1_genomic,GCF_003470585.1_ASM347058v1_genomic,GCF_003573895.1_ASM357389v1_genomic,GCF_005844365.1_ASM584436v1_genomic,GCF_009075765.1_ASM907576v1_genomic,GCF_009159095.1_ASM915909v1_genomic,GCF_900112465.1_IMG.taxon_2654588208_annotated_assembly_genomic,GCF_900445665.1_55147_E01_genomic,GCF_901212485.1_NZ_Bifidobacterium_bifidum_MC1_genomic
g000001,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000003,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000004,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000005,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000007,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000008,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000009,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000010,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000011,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
g000012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
g000013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000014,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
g000015,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
g000016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000017,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000018,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g000019,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
g000020,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000021,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000022,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
g000023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
g000024,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
g000025,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000026,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000027,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000028,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000029,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000030,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000031,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
g000033,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000034,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000035,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000036,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000037,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000038,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
g000039,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000040,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000042,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
g000043,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000044,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000045,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000047,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0
g000048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
g000049,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
g000050,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000051,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000052,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0
g000053,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000054,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
g000056,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000057,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000058,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000059,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
g000060,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000061,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
g000062,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000063,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g000064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000066,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000067,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000068,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000069,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0
g000070,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
