OTU	C1_WGSerr_r0.sorted.bam	C18_WGSerr_r0.sorted.bam	C19_WGSerr_r0.sorted.bam	C2_WGSerr_r0.sorted.bam	C20_WGSerr_r0.sorted.bam	C3_WGSerr_r0.sorted.bam	C4_WGSerr_r0.sorted.bam	C5_WGSerr_r0.sorted.bam	C6_WGSerr_r0.sorted.bam	C7_WGSerr_r0.sorted.bam	C8_WGSerr_r0.sorted.bam	C10_WGSerr_r0.sorted.bam	C9_WGSerr_r0.sorted.bam	C11_WGSerr_r0.sorted.bam	C12_WGSerr_r0.sorted.bam	C13_WGSerr_r0.sorted.bam	C14_WGSerr_r0.sorted.bam	C15_WGSerr_r0.sorted.bam	C16_WGSerr_r0.sorted.bam	C17_WGSerr_r0.sorted.bam
GCF_000017745.1_ASM1774v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000027125.1_ASM2712v1_genomic.fna	0	0.002442	1.4e-05	0	0	8e-06	0.000472	0	0	0	0	0	0	0.001571	0	0	0	0	0.001653	0.000565
GCF_000158395.1_ASM15839v1_genomic.fna	0	0	0	0	0	0	0	0.002973	0	0	0.000361	0	0	0	0	0	0	0	0	0
GCF_000163175.1_ASM16317v1_genomic.fna	0	0	0	0	0.000255	0	0	0.002118	0	0.002296	0	0	0	0	0.004695	0	0	0	0.001997	0
GCF_000163195.1_ASM16319v1_genomic.fna	0	0	0	0	0.005142	0.00053	0	0.001758	0.00136	0	0.000959	0	0	0	0	0	0	0.000716	0	0
GCF_000167875.1_ASM16787v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000167915.2_ASM16791v2_genomic.fna	0.013949	0.008169	0	0.004589	0	0	0.008466	0.01037	0.016791	0.013763	0.015743	0.003007	0.00566	0.007444	0.0011	0.013642	0.002491	0.003688	0.016006	0.001842
GCF_000176555.2_ASM17655v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0.000722	0	0	0	0	0	0	0	0	0
GCF_000176575.2_ASM17657v2_genomic.fna	0.001025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000176615.2_ASM17661v2_genomic.fna	0	0	0	0	0	0	0	0	1e-06	0	0	0	0	0	0	0	0	0	0.000744	0
GCF_000176655.2_ASM17665v2_genomic.fna	0	0.001122	0.00036	0	0	0	0	0	0	0	3.9e-05	0	0	0	0	0	0	0	0	0
GCF_000188855.1_ASM18885v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000190815.1_ASM19081v1_genomic.fna	0	0.012177	0	0	0	0	0	0	0	0	0	0.012226	0.001438	0	0	0	0	0	0	0.003964
GCF_000190835.1_ASM19083v1_genomic.fna	0.00992	0.010709	0	0.012929	0	0.015085	0.019771	0.015091	0	0	0.010514	0.018269	0.001287	0.011547	0.001274	0.014079	0.018674	0.004219	0.016349	0
GCF_000190955.1_ASM19095v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000190995.1_ASM19099v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000193975.1_ASM19397v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0.001692	0	0	0	0	0	0	0	0
