#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Escherichia coli O157","Bacteria;Proteobacteria;Gammaproteobacteria","644-PT8","SAMN05007045","PRJNA321984","GCA_001650295.1","Complete",5.83121,50.5,"chromosome:NZ_CP015831.1/CP015831.1",,1,5424,"2016-05-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/650/295/GCA_001650295.1_ASM165029v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/650/295/GCF_001650295.1_ASM165029v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2015C-4944","SAMN04482320","PRJNA218110","GCA_003018035.1","Complete",5.90147,50.6532,"chromosome:NZ_CP027390.1/CP027390.1; plasmid unnamed:NZ_CP027391.1/CP027391.1",,2,5623,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/018/035/GCA_003018035.1_ASM301803v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/018/035/GCF_003018035.1_ASM301803v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","FORC_028","SAMN04026657","PRJNA294502","GCA_001721125.1","Complete",5.7044,50.6,"chromosome:NZ_CP012693.1/CP012693.1",,1,5522,"2016-09-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/721/125/GCA_001721125.1_ASM172112v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/125/GCF_001721125.1_ASM172112v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN027343","SAMN10604454","PRJNA230969","GCA_004358405.1","Complete",5.778,50.6508,"chromosome:NZ_CP037943.1/CP037943.1; plasmid pCFSAN027343:NZ_CP037944.1/CP037944.1",,2,5506,"2019-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/358/405/GCA_004358405.1_ASM435840v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/405/GCF_004358405.1_ASM435840v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2013C-4538","SAMN08579598","PRJNA218110","GCA_003018575.1","Complete",5.76877,50.651,"chromosome:NZ_CP027582.1/CP027582.1; plasmid unnamed:NZ_CP027583.1/CP027583.1",,2,5422,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/018/575/GCA_003018575.1_ASM301857v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/018/575/GCF_003018575.1_ASM301857v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2014C-3050","SAMN03569438","PRJNA218110","GCA_003018135.1","Complete",5.75322,50.6475,"chromosome:NZ_CP027472.1/CP027472.1; plasmid unnamed:NZ_CP027473.1/CP027473.1",,2,5342,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/018/135/GCA_003018135.1_ASM301813v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/018/135/GCF_003018135.1_ASM301813v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2013C-4225","SAMN08579596","PRJNA218110","GCA_003018555.1","Complete",5.73416,50.6511,"chromosome:NZ_CP027577.1/CP027577.1; plasmid unnamed:NZ_CP027578.1/CP027578.1",,2,5399,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/018/555/GCA_003018555.1_ASM301855v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/018/555/GCF_003018555.1_ASM301855v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2014C-3057","SAMN08579576","PRJNA218110","GCA_003018895.1","Complete",5.70043,50.6475,"chromosome:NZ_CP027387.1/CP027387.1; plasmid unnamed:NZ_CP027386.1/CP027386.1",,2,5394,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/018/895/GCA_003018895.1_ASM301889v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/018/895/GCF_003018895.1_ASM301889v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","RM13322","SAMN14449600","PRJNA573729","GCA_013357365.1","Complete",5.69861,50.7344,"chromosome:NZ_CP050498.1/CP050498.1; plasmid pRM13322:NZ_CP050499.1/CP050499.1",,2,5363,"2020-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/357/365/GCA_013357365.1_ASM1335736v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/357/365/GCF_013357365.1_ASM1335736v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","143","SAMN08773050","PRJNA445267","GCA_005221885.1","Complete",5.69747,50.5512,"chromosome:NZ_CP028607.1/CP028607.1; plasmid pTA143:NZ_CP028608.1/CP028608.1",,2,5320,"2019-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/221/885/GCA_005221885.1_ASM522188v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/885/GCF_005221885.1_ASM522188v1"
