strain1,strain2,strain3,strain4,strain5,strain6,GCF_000171115.1_ASM17111v1_genomic,GCF_000355785.1_CloButy1.0_genomic,GCF_000371625.1_Clos_buty_60E_3_V1_genomic,GCF_000409755.1_Clostridium_butyricum_DSM_10702_Genome_sequencing_genomic,GCF_000424245.1_ASM42424v1_genomic,GCF_000508465.1_CloBut_DORA_1_velvet_1.1_genomic,GCF_000765285.1_ASM76528v1_genomic,GCF_000785185.1_ASM78518v1_genomic,GCF_001411625.1_ASM141162v1_genomic,GCF_001456065.2_ASM145606v2_genomic,GCF_001886875.1_ASM188687v1_genomic,GCF_003315755.1_ASM331575v1_genomic,GCF_003849835.1_ASM384983v1_genomic,GCF_007992875.1_ASM799287v1_genomic,GCF_009650315.1_ASM965031v1_genomic,GCF_009735365.2_ASM973536v2_genomic,GCF_009876455.1_ASM987645v1_genomic,GCF_011010795.1_ASM1101079v1_genomic,GCF_015557845.1_ASM1555784v1_genomic,GCF_902165875.1_26009_2_2_genomic,GCF_902165885.1_26009_2_3_genomic
g000005,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000077,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000181,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000223,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000400,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000425,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0
g000462,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
g000463,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
g000469,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000555,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g000603,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
g000628,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000657,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000658,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000668,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
g000692,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000719,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000725,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0
g000733,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
g000766,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
