strain1,strain2,strain3,strain4,strain5,strain6,strain7,GCF_000158015.1_ASM15801v1_genomic,GCF_000213865.1_ASM21386v1_genomic,GCF_000220135.1_ASM22013v1_genomic,GCF_000226175.1_ASM22617v2_genomic,GCF_000247755.1_ASM24775v2_genomic,GCF_000411435.1_Bifi_brev_HPH0326_V1_genomic,GCF_000568895.1_Mira_de.novo_assembly_genomic,GCF_000569015.1_ASM56901v1_genomic,GCF_000569035.1_ASM56903v1_genomic,GCF_000569055.1_ASM56905v1_genomic,GCF_001189355.1_assBREI4_genomic,GCF_001263845.1_ASM126384v1_genomic,GCF_001263855.1_ASM126385v1_genomic,GCF_001263915.1_ASM126391v1_genomic,GCF_001263935.1_ASM126393v1_genomic,GCF_001264035.1_ASM126403v1_genomic,GCF_001264045.1_ASM126404v1_genomic,GCF_001264095.1_ASM126409v1_genomic,GCF_001264105.1_ASM126410v1_genomic,GCF_001264135.1_ASM126413v1_genomic,GCF_001281425.1_ASM128142v1_genomic,GCF_001685705.1_ASM168570v1_genomic,GCF_001685725.1_ASM168572v1_genomic,GCF_001685745.1_ASM168574v1_genomic,GCF_001685765.1_ASM168576v1_genomic,GCF_001685785.1_ASM168578v1_genomic,GCF_001685805.1_ASM168580v1_genomic,GCF_001685825.1_ASM168582v1_genomic,GCF_001685845.1_ASM168584v1_genomic,GCF_001685865.1_ASM168586v1_genomic,GCF_001685885.1_ASM168588v1_genomic,GCF_001685905.1_ASM168590v1_genomic,GCF_001685925.1_ASM168592v1_genomic,GCF_001685945.1_ASM168594v1_genomic,GCF_002838225.1_ASM283822v1_genomic,GCF_002838265.1_ASM283826v1_genomic,GCF_002838305.1_ASM283830v1_genomic,GCF_002838325.1_ASM283832v1_genomic,GCF_002838345.1_ASM283834v1_genomic,GCF_002838365.1_ASM283836v1_genomic,GCF_002838385.1_ASM283838v1_genomic,GCF_002838405.1_ASM283840v1_genomic,GCF_002838425.1_ASM283842v1_genomic,GCF_002838445.1_ASM283844v1_genomic,GCF_002838485.1_ASM283848v1_genomic,GCF_002838505.1_ASM283850v1_genomic,GCF_002838525.1_ASM283852v1_genomic,GCF_002861455.1_ASM286145v1_genomic,GCF_003370105.1_ASM337010v1_genomic,GCF_003370175.1_ASM337017v1_genomic,GCF_003370195.1_ASM337019v1_genomic,GCF_003370295.1_ASM337029v1_genomic,GCF_003860285.1_ASM386028v1_genomic,GCF_015547895.1_ASM1554789v1_genomic,GCF_900157105.1_Bifido_10_v1_genomic,GCF_901212525.1_NZ_Bifidobacterium_breve_MC1_genomic,GCF_901980275.1_INIA_P734_genomic,GCF_902167575.1_B.breve_2_mod_mod2_genomic,GCF_902167875.1_B.breve_1_mod_mod2_genomic,GCF_902167895.1_Bifidobacterium_breve_JG_Bg463_genomic,GCF_902505445.1_LH24_genomic
g000001,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
g000003,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000004,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1
g000005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
g000006,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
g000007,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
g000008,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
g000009,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
g000010,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1
g000013,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1
