OTU	C1_WGSerr_r0.sorted.bam	C18_WGSerr_r0.sorted.bam	C19_WGSerr_r0.sorted.bam	C2_WGSerr_r0.sorted.bam	C20_WGSerr_r0.sorted.bam	C3_WGSerr_r0.sorted.bam	C4_WGSerr_r0.sorted.bam	C5_WGSerr_r0.sorted.bam	C6_WGSerr_r0.sorted.bam	C7_WGSerr_r0.sorted.bam	C8_WGSerr_r0.sorted.bam	C10_WGSerr_r0.sorted.bam	C9_WGSerr_r0.sorted.bam	C11_WGSerr_r0.sorted.bam	C12_WGSerr_r0.sorted.bam	C13_WGSerr_r0.sorted.bam	C14_WGSerr_r0.sorted.bam	C15_WGSerr_r0.sorted.bam	C16_WGSerr_r0.sorted.bam	C17_WGSerr_r0.sorted.bam
GCF_000017745.1_ASM1774v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000027125.1_ASM2712v1_genomic.fna	0	0.002032	0	0	0	0	0.000248	0	0	0	0	0	0	0.001181	0	0	0	0	0.001605	0.000225
GCF_000158395.1_ASM15839v1_genomic.fna	0	0	0	0	0	0	0	0.002866	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000163175.1_ASM16317v1_genomic.fna	0	0	0	0	8.4e-05	0	0	0.001872	0	0.001845	0	0	0	0	0.004624	0	0	0	0.002335	0
GCF_000163195.1_ASM16319v1_genomic.fna	0	0	0	0	0.004839	0.000667	0	0.001818	0.001181	0	0.000919	0	0	0	0	0	0	0.000916	0	0
GCF_000167875.1_ASM16787v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000167915.2_ASM16791v2_genomic.fna	0.012861	0.006809	0	0.004506	0	0	0.007298	0.009486	0.016242	0.01274	0.01351	0.001236	0.004735	0.006745	0	0.012384	0.00171	0.002593	0.015549	0.000349
GCF_000176555.2_ASM17655v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000176575.2_ASM17657v2_genomic.fna	0.00124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000176615.2_ASM17661v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000668	0
GCF_000176655.2_ASM17665v2_genomic.fna	0	0.001738	0.000766	0	0	0	0	0	0	0	0.001038	0	0	0	0.000225	0	0	0	0	0
GCF_000188855.1_ASM18885v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001317	0	0	0	0	0	0
GCF_000190815.1_ASM19081v1_genomic.fna	0	0.012489	0	0	0	0	0	0	0	0	0	0.012275	0.002205	0	0	0	0	0	0	0.004044
GCF_000190835.1_ASM19083v1_genomic.fna	0.011001	0.011278	0	0.013093	0	0.00979	0.021323	0.017951	0	0	0.010209	0.019802	0.002611	0.011932	0.004467	0.01468	0.019213	0.006008	0.017848	0
GCF_000190955.1_ASM19095v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000190995.1_ASM19099v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000193975.1_ASM19397v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0
GCF_000194415.1_ASM19441v2_genomic.fna	0	0	0	0	0	0	0	0.001369	0.006535	0	0	0	0	0	0	0	0	0	0	0
GCF_000194685.1_ASM19468v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000219515.1_ASM21951v2_genomic.fna	0	0	0.001425	0	0	0	0	0	0	0.000303	0	0	0	0	0	0	0	0	0	0
GCF_000225125.1_ASM22512v2_genomic.fna	0	0	0	0	0	0	0.000123	0	0	0	0	0	0	0	0	0	0.002148	0	0	0
GCF_000225205.1_ASM22520v2_genomic.fna	0	0	0	0	0	0	0	0.002026	0	0	0	0	0	0	0	0	0	0.000126	0	0
GCF_000234255.2_ASM23425v3_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000241995.1_Esch_coli_E101_V1_genomic.fna	0	0	0.000139	0.001313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285	0
GCF_000242015.1_Esch_coli_B093_V1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000242055.1_Esch_coli_TA124_V1_genomic.fna	0	0	0	0	0	0	0	5e-06	0	0	0	0	0	0.001606	0	0	0	0	0	0
GCF_000249175.1_ASM24917v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004311	0	0	0	0	0	0
GCF_000249535.1_ASM24953v2_genomic.fna	0	0.002659	0	0	0	0	0	0.000244	0	0	0.002664	0	0	0	0	0.003295	0	0	0	0.000902
GCF_000249715.1_ASM24971v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0.005204	0	0	0	0.004499	0	0.001405	0.003225	0	0
GCF_000250075.1_ASM25007v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000688	0	0	0	0
GCF_000250555.1_ASM25055v2_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
