Row.names	strain1	strain2	strain3	annotation	subclass	class
K00656	0.75	0.75	0.5	E2.3.1.54, pflD; formate C-acetyltransferase	formate C-acetyltransferase	Fucosidase_cluster
K02035	0.727272727272727	0.0909090909090909	0.0909090909090909	peptide/nickel transport system substrate-binding protein | (GenBank) extracellular solute-binding protein, family 5	Oligopeptide-binding protein oppA	Sialidase_cluster
K02429	0.666666666666667	0.333333333333333	0.333333333333333	fucP;MFS transporter, L-fucose permease	L-fucose permease	Fucosidase_cluster
K00048	0.6	0.6	0.2	fucO; lactaldehyde reductase	lactaldehyde reductase	Fucosidase_cluster
K15533	0.6	0.2	0.4	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [EC:2.4.1.211] | (GenBank) conserved hypothetical protein	Solute-binding protein of ABC transporter system for sugars	GNB-LNB_cluster
K12574	0.5	0.5	0.5	ribonuclease J [EC:3.1.-.-] | (GenBank) beta-lactamase domain protein	Beta-lactamase	43 kbp HMO cluster
K02033	0.444444444444444	0.111111111111111	0.111111111111111	peptide/nickel transport system permease protein | (GenBank) binding-protein-dependent transport systems inner membrane component	Oligopeptide transport system permease protein 	Sialidase_cluster
K01714	0.428571428571429	0.142857142857143	0.142857142857143	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7] | (GenBank) dihydrodipicolinate synthetase	N-Acetylneuraminate lyase	43 kbp HMO cluster
K12308	0.4	0.2	0.2	beta-galactosidase [EC:3.2.1.23] | (GenBank) Beta-galactosidase	LNT beta-1,3-galactosidase	LNT related gene
K02031	0.375	0.166666666666667	0.166666666666667	peptide/nickel transport system ATP-binding protein 	fusion between oligopeptide transport permease oppC and ATP-binding protein oppD	Sialidase_cluster
K02784	0.333333333333333	0.333333333333333	0.333333333333333	phosphocarrier protein HPr | (GenBank) Phosphotransferase system, phosphocarrier protein HPr	Phosphocarrier protein HPr	GluNAc-GalNAc_related_gene
K17319	0.333333333333333	0.333333333333333	0.333333333333333	putative aldouronate transport system permease protein | (GenBank) binding-protein-dependent transport systems inner membranecomponent	Sugar ABC transporter permease	43 kbp HMO cluster
K02529	0.3	0.1	0.2	LacI family transcriptional regulator | (GenBank) regulatory protein, LacI	LacI-type transcriptional regulator	Sialidase_cluster
K02026	0.291666666666667	0.25	0.125	multiple sugar transport system permease protein | (GenBank) binding-protein-dependent transport systems inner membrane component	Binding-protein-dependent transport system Inner membrane protein	43 kbp HMO cluster
K02027	0.264150943396226	0.188679245283019	0.226415094339623	multiple sugar transport system substrate-binding protein | (GenBank) extracellular solute-binding protein, family 1	Family 1 extracellular solute-binding protein	43 kbp HMO cluster
K08483	0.25	0.5	0.25	phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9] | (GenBank) phosphoenolpyruvate-protein phosphotransferase	Phosphoenolpyruvate-protein phosphotransferase	GluNAc-GalNAc_related_gene
K02034	0.235294117647059	0.176470588235294	0.176470588235294	peptide/nickel transport system permease protein	fusion between oligopeptide transport permease oppC and ATP-binding protein oppD	Sialidase_cluster
K16209	0.2	0.466666666666667	0.0666666666666667	lactose/raffinose/galactose permease | (GenBank) sugar (Glycoside-Pentoside-Hexuronide) transporter	Galactoside symporter	43 kbp HMO cluster
K13059	0.2	0.2	0.2	N-acetylhexosamine 1-kinase [EC:2.7.1.162] | (GenBank) aminoglycoside phosphotransferase	Permease protein of ABC transporter system for sugars	GNB-LNB_cluster
K02025	0.161764705882353	0.117647058823529	0.0588235294117647	multiple sugar transport system permease protein | (GenBank) binding-protein-dependent transport systems inner membrane component	Binding-protein-dependent transport system Inner membrane protein	43 kbp HMO cluster
K07497	0.010752688172043	0.021505376344086	0.010752688172043	putative transposase | (GenBank) Integrase, catalytic region	Integrase	43 kbp HMO cluster
K02564	0.8	0	0.2	glucosamine-6-phosphate deaminase [EC:3.5.99.6] | (GenBank) glucosamine-6-phosphate isomerase	Glucosamine-6-phosphate isomerase	GluNAc-GalNAc_related_gene
